date,day,price,atm_ce_1,atm_pe_1,itm_ce_1,itm_ce_2,itm_ce_3,itm_ce_4,itm_ce_5,itm_pe_1,itm_pe_2,itm_pe_3,itm_pe_4,itm_pe_5,otm_ce_1,otm_ce_2,otm_ce_3,otm_ce_4,otm_ce_5,otm_pe_1,otm_pe_2,otm_pe_3,otm_pe_4,otm_pe_5
17-12-2025,6,25886.8,125.15,126,101.4,80.8,63.05,48.75,36.4,152.8,180.85,213,246.85,287.4,101.4,80.8,63.05,48.75,36.4,152.8,180.85,213,246.85,287.4
18-12-2025,5,25778.95,108.05,110.75,85.55,66.35,51.55,38.7,29.95,137.95,169.55,203.3,240.75,281.65,85.55,66.35,51.55,38.7,29.95,137.95,169.55,203.3,240.75,281.65
19-12-2025,4,25927.2,83.75,101.75,61.7,44.95,31,21.55,14.85,130.8,163,200.5,239.05,281.9,61.7,44.95,31,21.55,14.85,130.8,163,200.5,239.05,281.9
22-12-2025,1,26095.7,74.55,61.95,50,34.35,21,12.35,7.45,89,119.7,156.05,199.3,245,50,34.35,21,12.35,7.45,89,119.7,156.05,199.3,245
23-12-2025,0,26154.85,62.7,33.7,35.2,18.25,8.85,3.75,1.95,58.2,94,132.05,178.65,226.1,35.2,18.25,8.85,3.75,1.95,58.2,94,132.05,178.65,226.1
24-12-2025,6,26161.5,114.45,94.3,88.65,67.35,49.7,35.85,25.4,118.15,147.2,178.8,216,254.15,88.65,67.35,49.7,35.85,25.4,118.15,147.2,178.8,216,254.15
26-12-2025,4,26115.6,82.65,72.2,59.15,39.25,26.45,17.15,11,99.2,133.9,168.75,208.65,254.55,59.15,39.25,26.45,17.15,11,99.2,133.9,168.75,208.65,254.55
29-12-2025,1,26068.95,69.65,48.7,47.15,29.4,18,9.95,5.75,72.65,105.8,143.45,186.75,233.05,47.15,29.4,18,9.95,5.75,72.65,105.8,143.45,186.75,233.05
30-12-2025,0,25903.1,41.9,38.6,22.7,12.45,6.8,4.1,2.75,67.95,105.95,151.8,200.3,247.3,22.7,12.45,6.8,4.1,2.75,67.95,105.95,151.8,200.3,247.3
31-12-2025,6,26011.1,132.65,82.55,104.4,80.65,60.4,44.2,31.65,104.4,130,161.1,194.55,232.8,104.4,80.65,60.4,44.2,31.65,104.4,130,161.1,194.55,232.8
01-01-2026,5,26194.3,96.9,86.4,71.25,50.7,34.8,22.4,15.1,112.25,139.85,175,217.45,257.2,71.25,50.7,34.8,22.4,15.1,112.25,139.85,175,217.45,257.2
02-01-2026,4,26170.05,103,50.55,73.3,49,31.15,18.2,10,71.4,98.3,128.85,165.9,209.2,73.3,49,31.15,18.2,10,71.4,98.3,128.85,165.9,209.2
05-01-2026,1,26319.15,88.1,47.2,58.1,34.8,20.9,12.15,7,67.45,99.2,134.7,174.8,220.35,58.1,34.8,20.9,12.15,7,67.45,99.2,134.7,174.8,220.35
06-01-2026,0,26214.7,78.2,22.2,45.2,23,9.6,4.3,2.3,38.35,65.35,106.2,147.6,199.25,45.2,23,9.6,4.3,2.3,38.35,65.35,106.2,147.6,199.25
07-01-2026,6,26133.85,95.65,113.45,73.7,55.65,41.6,29.95,21.7,141.1,173,208.05,246.25,289.25,73.7,55.65,41.6,29.95,21.7,141.1,173,208.05,246.25,289.25
08-01-2026,5,26115.1,94.9,86.75,71.2,52.25,37.4,26.75,18.55,112.5,143.9,179.8,217.2,260.1,71.2,52.25,37.4,26.75,18.55,112.5,143.9,179.8,217.2,260.1
09-01-2026,4,25909.9,105.15,79.1,78.55,57.3,40.95,29.15,20.6,103.2,133.75,165.15,204.7,246.5,78.55,57.3,40.95,29.15,20.6,103.2,133.75,165.15,204.7,246.5
12-01-2026,1,25615.5,119.45,52.4,90.2,63.1,45.45,31.6,21.5,71.05,97.95,125.3,161.2,201.95,90.2,63.1,45.45,31.6,21.5,71.05,97.95,125.3,161.2,201.95
13-01-2026,0,25863.7,53.3,65.25,35.3,22.4,13.6,8.05,4.6,96.85,133.35,173.8,215.8,267.65,35.3,22.4,13.6,8.05,4.6,96.85,133.35,173.8,215.8,267.65
14-01-2026,6,25707.75,134.1,135.75,109.6,84.3,67.7,56.35,42.75,159.75,196.25,229.3,255.8,299.8,109.6,84.3,67.7,56.35,42.75,159.75,196.25,229.3,255.8,299.8
16-01-2026,4,25691.9,142.75,93.3,113.6,90,71.7,54.3,41.1,115.8,144.2,171.3,207.5,245.15,113.6,90,71.7,54.3,41.1,115.8,144.2,171.3,207.5,245.15
19-01-2026,1,25581.05,67.1,117,48.9,35.4,25.85,18.95,14.3,150.35,187.3,227.55,271.7,315.3,48.9,35.4,25.85,18.95,14.3,150.35,187.3,227.55,271.7,315.3
20-01-2026,0,25571.85,55.2,55.3,35.4,21.3,12.65,7.2,4.6,84.25,120.2,160.85,207.9,254.55,35.4,21.3,12.65,7.2,4.6,84.25,120.2,160.85,207.9,254.55
21-01-2026,6,25247.3,146.95,162.8,120.45,103.2,82.5,66.9,53.45,192.8,215.65,248.85,281.9,320.55,120.45,103.2,82.5,66.9,53.45,192.8,215.65,248.85,281.9,320.55
22-01-2026,5,25316.4,165.25,112.6,138.3,112.65,92,74.15,58.8,133.3,159.75,188.85,221.15,254,138.3,112.65,92,74.15,58.8,133.3,159.75,188.85,221.15,254
23-01-2026,4,25261.95,167.05,86.65,137.15,108.85,85.95,69.55,52.05,105.4,132.25,162,188.45,225.8,137.15,108.85,85.95,69.55,52.05,105.4,132.25,162,188.45,225.8
27-01-2026,0,25053.25,149.65,52.6,110.55,86.9,64.85,46,32.95,74.35,94.85,120,159,187.1,110.55,86.9,64.85,46,32.95,74.35,94.85,120,159,187.1
28-01-2026,6,25322.25,268.2,213.95,240.4,214,190,167.6,146.3,235.9,257.05,284.75,311.9,340.4,240.4,214,190,167.6,146.3,235.9,257.05,284.75,311.9,340.4
