id,title,currency,date,impact,forecast,previous,actual,all_day,tentative
,Foreign Securities Purchases,CAD,2017-01-19T08:30:00Z,None,10.23B,15.77B,7.24B,false,false
,Natural Gas Storage,USD,2017-01-19T10:30:00Z,None,-235B,-151B,-243B,false,false
,Crude Oil Inventories,USD,2017-01-19T11:00:00Z,High,0.1M,4.1M,2.3M,false,false
,HIA New Home Sales m/m,AUD,2017-01-19T19:00:00Z,None,,-8.5%,6.1%,false,false
,Fed Chair Yellen Speaks,USD,2017-01-19T20:00:00Z,High,,,,false,false
,GDP q/y,CNY,2017-01-19T21:00:00Z,High,6.7%,6.7%,6.8%,false,false
,NBS Press Conference,CNY,2017-01-19T21:00:00Z,None,,,,false,false
,Retail Sales y/y,CNY,2017-01-19T21:00:00Z,None,10.7%,10.8%,10.9%,false,false
,Fixed Asset Investment ytd/y,CNY,2017-01-19T21:00:00Z,None,8.3%,8.3%,8.1%,false,false
,Industrial Production y/y,CNY,2017-01-19T21:00:00Z,High,6.1%,6.2%,6.0%,false,false
,WEF Annual Meetings,All,2017-01-20T00:00:00Z,None,,,,false,false
,German PPI m/m,EUR,2017-01-20T02:00:00Z,None,0.4%,0.3%,0.4%,false,false
,Retail Sales m/m,GBP,2017-01-20T04:30:00Z,High,-0.1%,-0.1%,-1.9%,false,false
,Core Retail Sales m/m,CAD,2017-01-20T08:30:00Z,High,0.1%,1.4%,0.1%,false,false
,Common CPI y/y,CAD,2017-01-20T08:30:00Z,None,,1.3%,1.4%,false,false
,Retail Sales m/m,CAD,2017-01-20T08:30:00Z,None,0.5%,1.2%,0.2%,false,false
,Trimmed CPI y/y,CAD,2017-01-20T08:30:00Z,None,,1.6%,1.6%,false,false
,Median CPI y/y,CAD,2017-01-20T08:30:00Z,None,,2.0%,2.0%,false,false
,CPI m/m,CAD,2017-01-20T08:30:00Z,High,0.0%,-0.4%,-0.2%,false,false
,Core CPI m/m,CAD,2017-01-20T08:32:00Z,None,0.2%,-0.5%,-0.3%,false,false
,FOMC Member Harker Speaks,USD,2017-01-20T09:00:00Z,None,,,,false,false
,President Trump Speaks,USD,2017-01-20T12:00:00Z,High,,,,false,false
,OPEC-JMMC Meetings,All,2017-01-22T04:15:00Z,None,,,,false,false
,All Industries Activity m/m,JPY,2017-01-22T23:30:00Z,None,0.4%,0.0%,0.3%,false,false
,German Buba Monthly Report,EUR,2017-01-23T06:00:00Z,None,,,,false,false
,ECB President Draghi Speaks,EUR,2017-01-23T06:30:00Z,High,,,,false,false
,Wholesale Sales m/m,CAD,2017-01-23T08:30:00Z,None,0.3%,1.3%,0.2%,false,false
,CB Leading Index m/m,CNY,2017-01-23T09:00:00Z,None,,1.3%,0.8%,false,false
,Consumer Confidence,EUR,2017-01-23T10:00:00Z,None,-5,-5,-5,false,false
,BusinessNZ Services Index,NZD,2017-01-23T16:30:00Z,None,,58.4,58.4,false,false
,Flash Manufacturing PMI,JPY,2017-01-23T19:30:00Z,None,52.3,52.4,52.8,false,false
,French Flash Manufacturing PMI,EUR,2017-01-24T03:00:00Z,None,53.4,53.5,53.4,false,false
,French Flash Services PMI,EUR,2017-01-24T03:00:00Z,None,53.2,52.9,53.9,false,false
,German Flash Manufacturing PMI,EUR,2017-01-24T03:30:00Z,None,55.5,55.6,56.5,false,false
,German Flash Services PMI,EUR,2017-01-24T03:30:00Z,None,54.6,54.3,53.2,false,false
,Flash Services PMI,EUR,2017-01-24T04:00:00Z,None,53.9,53.7,53.6,false,false
,Flash Manufacturing PMI,EUR,2017-01-24T04:00:00Z,None,54.8,54.9,55.1,false,false
,Public Sector Net Borrowing,GBP,2017-01-24T04:30:00Z,None,6.7B,10.8B,6.4B,false,false
,EU Membership Court Ruling,GBP,2017-01-24T04:30:00Z,High,,,,false,false
,Flash Manufacturing PMI,USD,2017-01-24T09:45:00Z,None,54.6,54.3,55.1,false,false
,Existing Home Sales,USD,2017-01-24T10:00:00Z,None,5.54M,5.65M,5.49M,false,false
,Richmond Manufacturing Index,USD,2017-01-24T10:00:00Z,None,7,8,12,false,false
,CB Leading Index m/m,AUD,2017-01-24T10:30:00Z,None,,-0.4%,0.5%,false,false
,API Weekly Statistical Bulletin,USD,2017-01-24T16:30:00Z,None,,,,false,false
,MI Leading Index m/m,AUD,2017-01-24T18:30:00Z,None,,0.0%,0.4%,false,false
,Trade Balance,JPY,2017-01-24T18:50:00Z,None,0.22T,0.47T,0.36T,false,false
,CPI m/m,AUD,2017-01-24T19:30:00Z,High,0.7%,0.7%,0.5%,false,false
,Trimmed Mean CPI m/m,AUD,2017-01-24T19:30:00Z,High,0.5%,0.4%,0.4%,false,false
,Credit Card Spending y/y,NZD,2017-01-24T21:00:00Z,None,,4.1%,8.5%,false,false
,Bank Holiday,AUD,2017-01-25T00:00:00Z,None,,,,true,false
,UBS Consumption Indicator,CHF,2017-01-25T02:00:00Z,None,,1.45,1.50,false,false
