tag,verdict,failed,note,n,net,avg,wr,pf,tr,ho,yrs_pos,maxdd,avg2x,avg3x
DONCH96 US30 TRAIL 4.0ATR,PASS,,2022+ only,146,46.6447,0.3195,0.3836,1.5586,18.7951,27.8497,5/5,-11.5048,0.2863,0.2546
DONCH96 US30 TRAIL 5.0ATR,PASS,,2022+ only,136,50.3738,0.3704,0.3309,1.5947,30.0614,20.3124,3/5,-12.5497,0.3344,0.3001
DONCH96 JPN225 FIXED rr3.0 (deployed shape),reject,train+,2022+ only,202,30.9741,0.1533,0.3218,1.2212,-5.8729,36.847,4/5,-13.8989,0.0622,0.0185
DONCH96 JPN225 TRAIL 3.0ATR,reject,train+,2022+ only,172,51.9322,0.3019,0.3837,1.5742,-1.1888,53.121,4/5,-13.5347,0.2409,0.1801
DONCH96 JPN225 TRAIL 4.0ATR,reject,train+,2022+ only,157,41.2209,0.2626,0.3503,1.4428,-3.1263,44.3472,4/5,-15.5453,0.1981,0.1349
DONCH96 JPN225 TRAIL 5.0ATR,reject,train+,2022+ only,142,48.7985,0.3437,0.3521,1.5458,-7.7436,56.5422,4/5,-15.3135,0.267,0.2001
BOS GER40 FIXED rr3.0 (deployed shape),reject,avg>=floor,2022+ only,424,16.2207,0.0383,0.283,1.0526,9.2001,7.0205,3/5,-19.7169,0.026,-0.0294
BOS GER40 TRAIL 3.0ATR,PASS,,2022+ only,442,34.9797,0.0791,0.3416,1.1471,6.3647,28.615,3/5,-18.3357,0.0258,-0.0239
BOS GER40 TRAIL 4.0ATR,PASS,,2022+ only,372,49.1127,0.132,0.3226,1.211,28.5112,20.6016,3/5,-25.049,0.084,0.0318
BOS GER40 TRAIL 5.0ATR,PASS,,2022+ only,340,33.3985,0.0982,0.2735,1.1444,19.7872,13.6114,3/5,-29.7228,0.0553,0.0032
"BOLL30 EURUSD ungated (deployed shape, broker data)",reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,1093,-23.3843,-0.0214,0.4483,0.962,-21.689,-1.6953,3/9,-39.8516,-0.0985,-0.1695
BOLL30 EURUSD er<0.5 ranging,reject,"avg>=floor,train+,2x_cost_avg>0",,528,-14.1289,-0.0268,0.4545,0.9516,-28.6136,14.4848,3/9,-37.5911,-0.1065,-0.1796
BOLL30 EURUSD er<0.35 deep range,reject,"avg>=floor,train+,holdout+,2x_cost_avg>0",,373,-20.3055,-0.0544,0.445,0.9036,-19.6653,-0.6402,2/9,-25.7388,-0.1335,-0.2059
BOLL30 EURUSD er>=0.5 trending (control),reject,"avg>=floor,holdout+,2x_cost_avg>0",,611,-8.1563,-0.0133,0.4452,0.9765,7.0567,-15.2131,5/9,-25.0658,-0.0889,-0.1585
"RSI30 USDCHF ungated (deployed shape, broker data)",PASS,,,80,19.6295,0.2454,0.525,1.4846,12.4409,7.1886,8/9,-5.2047,0.0518,-0.0836
