id,symbol,tf,family,params,rr_plan,n,tpm,wr,rr_real,avg_r,net,tr,ho,n_ho,stress3x,stress3x_status,verdict,plateau
ZB-PIV5-US30-H4-pad0.25-rr3,US30,H4,PIV5,pad0.25,3.0,421,2.475896445131376,30.878859857482183,2.548661474893772,0.0935520714155679,39.3854220659541,38.124255055027874,1.261167010926239,115,29.2,Pass,DEPLOY-CANDIDATE,1.0
"ZB-BOX-US30-H4-N24,tight2.5-rr2",US30,H4,BOX,"N24,tight2.5",2.0,5,0.0294049459041731,40.0,2.0,0.2,1.0,1.0,0.0,0,1.0,Pass,REJECT,1.0
"ZB-BOX-US30-H4-N24,tight2.5-rr3",US30,H4,BOX,"N24,tight2.5",3.0,5,0.0294049459041731,40.0,2.1344962227315105,0.2537984890926042,1.268992445463021,1.268992445463021,0.0,0,1.2,Pass,REJECT,1.0
ZB-CMPX-US30-H4-q0.25-rr2,US30,H4,CMPX,q0.25,2.0,137,0.8056955177743431,33.57664233576642,1.964852382352048,-0.0044531070277869,-0.610075662806814,-4.610075662806814,4.0,23,3.3,Pass,REJECT,0.5
ZB-CMPX-US30-H4-q0.25-rr3,US30,H4,CMPX,q0.25,3.0,117,0.6880757341576508,31.62393162393162,2.722963271778195,0.1751511775853625,20.49268777748741,13.214024977907943,7.278662799579465,20,14.0,Pass,DEPLOY-CANDIDATE,0.5
ZB-PIV5-US30-D1-pad0.1-rr2,US30,D1,PIV5,pad0.1,2.0,64,0.7925793327908869,37.5,1.4503212649415809,-0.0737767429049377,-4.721711545916016,-3.9622475146433818,-0.7594640312726348,27,-4.8,Fail,REJECT,0.0
ZB-PIV5-US30-D1-pad0.1-rr3,US30,D1,PIV5,pad0.1,3.0,60,0.7430431244914565,33.33333333333333,1.5193757671013188,-0.1450612346869145,-8.703674081214874,-1.9130188587193635,-6.790655222495512,24,-8.8,Fail,REJECT,0.0
ZB-PIV5-US30-D1-pad0.25-rr2,US30,D1,PIV5,pad0.25,2.0,63,0.7801952807160293,39.68253968253968,1.4418901128699404,-0.0280557122849306,-1.7675098739506296,-0.6927061046766609,-1.0748037692739678,26,-1.8,Fail,REJECT,0.0
ZB-PIV5-US30-D1-pad0.25-rr3,US30,D1,PIV5,pad0.25,3.0,58,0.7182750203417413,36.206896551724135,1.3487247016090105,-0.1311457953015833,-7.606456127491834,-0.5105616356053937,-7.095894491886441,23,-7.7,Fail,REJECT,0.0
"ZB-BOX-US30-D1-N24,tight2.5-rr2",US30,D1,BOX,"N24,tight2.5",2.0,4,0.0495362082994304,75.0,1.454170559162702,0.8406279193720264,3.3625116774881056,2.579799946888554,0.7827117305995515,2,3.4,Pass,WATCH,1.0
"ZB-BOX-US30-D1-N24,tight2.5-rr3",US30,D1,BOX,"N24,tight2.5",3.0,4,0.0495362082994304,75.0,1.0049315651947432,0.5036986738960574,2.014794695584229,1.2320829649846785,0.7827117305995515,2,2.0,Pass,WATCH,1.0
ZB-CMPX-US30-D1-q0.25-rr2,US30,D1,CMPX,q0.25,2.0,10,0.123840520748576,50.0,1.865654790823739,0.3522990580286911,3.522990580286911,3.319132403953017,0.2038581763338942,2,3.5,Pass,WATCH,1.0
ZB-CMPX-US30-D1-q0.25-rr3,US30,D1,CMPX,q0.25,3.0,9,0.1114564686737184,33.33333333333333,3.030156672936836,0.1928614210374572,1.7357527893371154,1.93287448817526,-0.1971216988381443,1,1.7,Pass,REJECT,1.0
ZB-PIV5-JPN225-M15-pad0.1-rr2,JPN225,M15,PIV5,pad0.1,2.0,2024,44.22868628858579,32.4604743083004,1.995212044053531,-0.0277399639608844,-56.14568705683022,-9.680724401554125,-46.464962655276096,1344,-237.1,Fail,REJECT,0.5
ZB-PIV5-JPN225-M15-pad0.1-rr3,JPN225,M15,PIV5,pad0.1,3.0,1801,39.35566403445801,26.263187118267627,2.944581595034821,0.0359634246308314,64.7701277601275,76.94803185511637,-12.17790409498888,1200,-149.0,Fail,REJECT,0.5
ZB-PIV5-JPN225-M15-pad0.25-rr2,JPN225,M15,PIV5,pad0.25,2.0,2011,43.9446087580761,32.819492789656884,1.992845231040504,-0.0177633751930719,-35.722147513267664,1.319275598445934,-37.0414231117136,1333,-195.1,Fail,REJECT,0.5
ZB-PIV5-JPN225-M15-pad0.25-rr3,JPN225,M15,PIV5,pad0.25,3.0,1780,38.8967695620962,26.40449438202247,2.9452002236024053,0.0416990980918699,74.22439460352848,62.9787591549549,11.245635448573584,1186,-115.3,Fail,REJECT,0.5
"ZB-BOX-JPN225-M15-N24,tight2.5-rr2",JPN225,M15,BOX,"N24,tight2.5",2.0,161,3.518190954773869,36.64596273291926,2.0,0.0993788819875774,15.999999999999975,22.0,-6.000000000000025,123,-6.2,Fail,REJECT,1.0
"ZB-BOX-JPN225-M15-N24,tight2.5-rr3",JPN225,M15,BOX,"N24,tight2.5",3.0,161,3.518190954773869,28.57142857142857,2.9554168880354923,0.1301191108672834,20.949176849632632,26.0,-5.050823150367368,123,-1.5,Fail,REJECT,1.0
ZB-CMPX-JPN225-M15-q0.25-rr2,JPN225,M15,CMPX,q0.25,2.0,816,17.83132806891601,29.5343137254902,1.992107505523036,-0.1163015823148877,-94.90209116894836,-12.99999999999996,-81.90209116894842,533,-169.9,Fail,REJECT,0.0
ZB-CMPX-JPN225-M15-q0.25-rr3,JPN225,M15,CMPX,q0.25,3.0,747,16.323531945441495,22.62382864792504,2.9828278629056304,-0.0989318489544156,-73.90209116894846,14.999999999999954,-88.90209116894842,486,-167.2,Fail,REJECT,0.0
ZB-PIV5-JPN225-M30-pad0.1-rr2,JPN225,M30,PIV5,pad0.1,2.0,1353,29.56591529073941,34.368070953436806,1.9773917826211649,0.0231861656039786,31.370882062183146,20.96719643282901,10.403685629354133,891,-80.6,Fail,REJECT,0.5
ZB-PIV5-JPN225-M30-pad0.1-rr3,JPN225,M30,PIV5,pad0.1,3.0,1133,24.758449389806177,25.50750220653133,2.8092602522248824,-0.028117298118403,-31.856898768150685,34.58622033903315,-66.44311910718383,761,-78.7,Fail,REJECT,0.5
