SYMBOL,UNDERLYING_ASSET,%CHNG,VOLUME,LTP,CATEGORY,DATE
GROWWRLTY,Index,-0.22,"65,038",9.18,,2026-02-23
NPBET,Nifty Private Bank Index,-0.22,351,298.66,NIFTY_BANK,2026-02-23
NIF100IETF,Nifty 100,-0.24,"73,966",29.08,NIFTY_100,2026-02-23
HDFCNEXT50,HDFC NIFTY NEXT 50 ETF,-0.25,"88,761",70.71,NIFTY_NEXT_50,2026-02-23
METAL,Nifty Metal Total Return Index,-0.25,"64,19,428",12.00,METAL,2026-02-23
GILT10BETA,UTI Nifty 10 yr Benchmark G-Sec ETF,-0.27,411,25.93,GSEC,2026-02-23
AXSENSEX,AXIS S&P BSE SENSEX ETF,-0.28,"1,363",85.38,SENSEX,2026-02-23
MID150BEES,Nifty Midcap 150 TRI,-0.30,"5,33,739",225.80,NIFTY_MIDCAP,2026-02-23
MOALPHA50,Nifty Alpha 50 Total Return Index,-0.31,"6,877",50.80,ALPHA,2026-02-23
MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF,-0.36,"16,39,010",22.30,NIFTY_MIDCAP,2026-02-23
MANUFGBEES,Nifty India Manufacturing TRI,-0.38,"4,945",156.01,MANUFACTURING,2026-02-23
QUAL30IETF,ICICI Prudential Nifty 200 Quality 30 ETF,-0.38,"68,551",21.00,QUALITY,2026-02-23
MOM100,Nifty Midcap 100,-0.41,"4,57,140",63.88,NIFTY_MIDCAP,2026-02-23
MOMNC,Nifty MNC ETF Total Return Index,-0.42,"6,671",31.00,MNC,2026-02-23
GROWWDEFNC,Nifty India Defence Index- Total Return Index,-0.49,"5,37,808",80.63,DEFENCE,2026-02-23
GSEC10YEAR,Mirae Asset Nifty 8-13 yr G-Sec ETF,-0.50,"1,506",29.66,GSEC,2026-02-23
TNIDETF,Nifty India Digital Index,-0.52,"75,829",86.00,DIGITAL,2026-02-23
MID150,Nifty Midcap 150 Index,-0.54,"45,749",22.25,NIFTY_MIDCAP,2026-02-23
HDFCMID150,HDFC NIFTY Midcap 150 ETF,-0.59,"3,63,979",22.06,NIFTY_MIDCAP,2026-02-23
GROWWPSE,Nifty PSE Index - TRI,-0.60,"14,340",103.51,,2026-02-23
GROWWCHEM,Nifty Chemicals Index - TRI,-0.60,"30,373",28.24,,2026-02-23
MODEFENCE,Nifty India Defence Total Return Index,-0.60,"30,69,086",88.50,DEFENCE,2026-02-23
DEFENCE,BSE India Defence,-0.61,"29,43,407",67.31,DEFENCE,2026-02-23
SBIETFQLTY,Nifty 200 Quality 30 Index,-0.63,"3,581",221.27,QUALITY,2026-02-23
SHARIABEES,Shariah,-0.67,"8,151",481.90,,2026-02-23
LICNMID100,LIC MF Nifty Midcap 100 ETF,-0.82,"75,098",59.37,NIFTY_MIDCAP,2026-02-23
CHEMICAL,Nifty Chemicals Index (TRI),-1.16,"9,59,860",28.20,,2026-02-23
ITBETA,UTI Nifty IT ETF,-1.26,"2,406",329.98,IT,2026-02-23
NEXT50BETA,Nifty Next 50,-1.28,"1,11,672",74.69,NIFTY_NEXT_50,2026-02-23
ELM250,Nifty LargeMidcap 250 TRI,-1.33,"7,76,515",16.29,NIFTY_MIDCAP,2026-02-23
AXISTECETF,NIFTY IT Index,-1.37,"6,884",345.93,IT,2026-02-23
TECH,Nifty IT TRI Index,-1.38,"70,843",34.20,IT,2026-02-23
ITIETF,Nifty IT Index,-1.39,"15,69,293",34.87,IT,2026-02-23
ITBEES,Nifty IT TRI,-1.41,"2,89,77,046",34.88,IT,2026-02-23
IT,NIFTY IT Index,-1.42,"7,85,469",34.80,IT,2026-02-23
SBIETFIT,Nifty IT Index,-1.43,"31,594",348.14,IT,2026-02-23
ITETF,Mirae Asset Nifty IT ETF,-1.45,"10,80,073",33.21,IT,2026-02-23
ITADD,DSP Nifty IT ETF,-1.66,"94,544",33.25,IT,2026-02-23
NIFTY100EW,Nifty 100 Equal Weight Index,-9.76,"4,79,402",34.48,NIFTY_100,2026-02-23
