sym,family,cell,params,n,net,avg,wr,tr_n,tr_net,tr_avg,va_n,va_net,va_avg,maxdd,yrs_pos,tr_avg_2x,va_net_2x,tr_avg_3x,va_net_3x
XAUUSD,TSMOM,1,"{'N': 20, 'trail': 3.0, 'sides': 'LS'}",174,38.7351865701388,0.22261601477091264,0.39080459770114945,151,17.998703936846,0.11919671481354967,23,20.736482633292802,0.9015862014475131,-8.19898704727644,13/19,0.11173777674143741,20.63030660215725,0.1043364806473768,20.524550163038906
XAUUSD,TSMOM,2,"{'N': 20, 'trail': 4.0, 'sides': 'L'}",84,56.503722232222145,0.6726633599074064,0.39285714285714285,74,25.01397909300514,0.3380267445000695,10,31.489743139216998,3.1489743139216997,-6.38377562271204,11/19,0.3294870796442347,31.39958475579569,0.32101604658017513,31.3097999478291
XAUUSD,TSMOM,3,"{'N': 20, 'trail': 4.0, 'sides': 'LS'}",149,35.13562563713815,0.23580956803448422,0.348993288590604,132,6.928744914096501,0.05249049177345834,17,28.206880723041643,1.659228277825979,-10.793249978240224,11/19,0.045077310190375565,28.104384729040046,0.03772295656541223,28.002307435282084
XAUUSD,TSMOM,4,"{'N': 55, 'trail': 3.0, 'sides': 'L'}",57,52.11947979170206,0.9143768384509133,0.49122807017543857,47,27.19779703179672,0.5786765325914196,10,24.921682759905345,2.4921682759905344,-3.0143880809445225,13/19,0.5687892809718015,24.844272388192632,0.5589854473857835,24.767170655464092
XAUUSD,TSMOM,5,"{'N': 55, 'trail': 3.0, 'sides': 'LS'}",101,40.094824222522504,0.3969784576487377,0.39603960396039606,88,17.271862321846303,0.19627116274825343,13,22.822961900676198,1.755612453898169,-5.956330438553087,13/19,0.18816151707512088,22.743326678236393,0.18011767606655366,22.66400277919539
XAUUSD,TSMOM,6,"{'N': 55, 'trail': 4.0, 'sides': 'L'}",51,49.52387362532382,0.9710563455945848,0.47058823529411764,43,24.357880598897804,0.5664623395092513,8,25.165993026426012,3.1457491283032515,-3.4576558079995987,13/19,0.5564573045164153,25.093760531229584,0.5465380621787872,25.021821350475967
XAUUSD,TSMOM,7,"{'N': 55, 'trail': 4.0, 'sides': 'LS'}",91,42.760624165741014,0.4698969688542969,0.3626373626373626,81,17.147063553203896,0.21169214263214686,10,25.613560612537125,2.5613560612537123,-8.407830201456608,11/19,0.2034003982932844,25.538657329629697,0.19517681022398076,25.464050739644627
XAUUSD,AFADE,0,"{'k': 1.5, 'stop_atr': 1.2}",4360,-759.9686490897877,-0.17430473602976781,0.3321100917431193,3792,-684.0309666892265,-0.1803879131564416,568,-75.93768240056127,-0.13369310281788957,-765.2526775925405,0/19,,,,
XAUUSD,AFADE,1,"{'k': 1.5, 'stop_atr': 2.0}",4360,-522.6156334371155,-0.11986597097181549,0.4506880733944954,3792,-448.78816207988166,-0.11835130856536964,568,-73.82747135723389,-0.12997794253034137,-523.039583334591,2/19,,,,
XAUUSD,AFADE,2,"{'k': 2.0, 'stop_atr': 1.2}",3666,-467.0877621027065,-0.1274107370711147,0.31151118385160936,3187,-409.71906886846546,-0.12855948191668198,479,-57.36869323424102,-0.11976762679382259,-480.81356295503525,3/19,,,,
