sym,family,cell,params,n,net,avg,wr,tr_n,tr_net,tr_avg,va_n,va_net,va_avg,maxdd,yrs_pos,tr_avg_2x,va_net_2x
XAUUSD,GAPF,2,{'g_atr': 0.8},14,-3.2249432644531963,-0.23035309031808546,0.5,10,-1.6481556786091582,-0.16481556786091583,4,-1.576787585844038,-0.3941968964610095,-4.158555556488267,3/9,,
EURUSD,MR3,0,"{'sides': 'L', 'rr': 1.5}",58,-1.1179147984539213,-0.019274393076791747,0.4482758620689655,38,0.47739161609529734,0.01256293726566572,20,-1.5953064145492184,-0.07976532072746093,-7.6259956701328075,3/11,0.008008980855772238,-1.6968970687035596
EURUSD,MR3,1,"{'sides': 'L', 'rr': 2.5}",58,1.5882810863206187,0.027384156660700324,0.4482758620689655,38,2.1871519717653753,0.05755663083593093,20,-0.5988708854447569,-0.029943544272237842,-6.395236373939299,3/11,0.052218416111770666,-0.7057945500647917
EURUSD,MR3,2,"{'sides': 'LS', 'rr': 1.5}",117,-0.7828488288859685,-0.006691015631504004,0.4700854700854701,79,-3.575908754859759,-0.04526466778303492,38,2.7930599259737896,0.07350157699931026,-12.976688262007915,7/11,,
EURUSD,MR3,3,"{'sides': 'LS', 'rr': 2.5}",117,3.326492858844686,0.028431562896108428,0.4700854700854701,79,-0.37191681997017034,-0.004707807847723676,38,3.6984096788148575,0.09732657049512783,-10.380556549633688,7/11,,
EURUSD,RNGX,0,"{'sides': 'L', 'rr': 2.0}",279,8.260487744670296,0.029607482955807514,0.35842293906810035,179,1.3148839844402334,0.007345720583464991,100,6.945603760230066,0.06945603760230065,-28.20491369562336,5/12,-0.017313152838938053,3.6819804421911053
EURUSD,RNGX,1,"{'sides': 'L', 'rr': 3.0}",251,-2.8791418626430723,-0.011470684711725387,0.3346613545816733,165,-12.554583985281155,-0.07608838778958275,86,9.675442122638087,0.11250514096090798,-28.453234275078433,6/12,,
EURUSD,RNGX,2,"{'sides': 'LS', 'rr': 2.0}",482,-22.069084984671285,-0.04578648337068731,0.35684647302904565,312,-34.72485362458229,-0.11129760777109708,170,12.65576863991101,0.07444569788182946,-51.48639933908115,5/12,,
EURUSD,RNGX,3,"{'sides': 'LS', 'rr': 3.0}",437,-42.51882697308994,-0.09729708689494267,0.3318077803203661,284,-43.93666165604479,-0.15470655512691828,153,1.417834682954851,0.009266893352646084,-55.90627372077761,6/12,,
EURUSD,GAPF,0,{'g_atr': 0.3},65,-6.124477544482428,-0.0942227314535758,0.6,40,-7.5099319805042,-0.18774829951260502,25,1.3854544360217722,0.05541817744087089,-10.757781061722975,5/11,,
EURUSD,GAPF,1,{'g_atr': 0.5},37,-5.518505910615913,-0.14914880839502467,0.5675675675675675,23,-5.693678961558707,-0.24755125919820464,14,0.17517305094279245,0.012512360781628032,-8.85628232156444,4/11,,
EURUSD,GAPF,2,{'g_atr': 0.8},15,-1.6549748612781703,-0.11033165741854468,0.6,10,-3.0920587377893094,-0.30920587377893094,5,1.4370838765111396,0.2874167753022279,-5.368872114755979,6/10,,
GBPUSD,MR3,0,"{'sides': 'L', 'rr': 1.5}",52,0.45034396278248623,0.008660460822740119,0.5,33,3.8558989135566115,0.11684542162292762,19,-3.405554950774127,-0.17923973425126985,-4.403414763721443,7/11,0.11285791007298085,-3.5149240792244925
