pair,tf,t1,cost_mult,n,wr,avg,net,tr_n,tr_avg,tr_net,va_n,va_avg,va_net
GBPUSD,240,swing,1.0,175,0.32571428571428573,-0.07989672881850904,-13.981927543239081,114,-0.10751769026694843,-12.257016690432122,61,-0.02827722709519611,-1.7249108528069628
GBPUSD,240,swing,0.0,175,0.3314285714285714,-0.04864780596766659,-8.513366044341653,114,-0.07553131250362263,-8.61056962541298,61,0.0015935013290380854,0.09720358107132321
GBPUSD,240,swing,2.0,175,0.32,-0.1082637530225842,-18.946156778952236,114,-0.1362139070028077,-15.528385398320076,61,-0.05602903902675677,-3.4177713806321632
GBPUSD,240,rr5,1.0,175,0.30857142857142855,-0.09486968112443842,-16.602194196776722,114,-0.11508374563253597,-13.119547002109101,61,-0.057092576961764306,-3.4826471946676225
GBPUSD,240,rr5,0.0,175,0.3142857142857143,-0.06934362297113154,-12.13513401994802,114,-0.09154493241521627,-10.436122295334656,61,-0.027852651223169954,-1.6990117246133671
GBPUSD,240,rr5,2.0,175,0.3028571428571429,-0.11746498412587086,-20.556372222027402,114,-0.13524653920646304,-15.418105469536785,61,-0.08423388118837087,-5.138266752490623
USDJPY,1,swing,1.0,2713,0.122005160339108,-0.19749517039960918,-535.8043972941397,1677,-0.2209900207824997,-370.600264852252,1036,-0.15946344830298037,-165.20413244188765
USDJPY,1,swing,0.0,2713,0.12311094729082196,0.16178628770831055,438.92619855264655,1677,0.1554422545377326,260.6766608597776,1036,0.17205553831358003,178.2495376928689
USDJPY,1,swing,2.0,2712,0.12094395280235988,-0.3603418152549372,-977.2470029713896,1676,-0.3855684707998434,-646.2127570605376,1036,-0.31953112539657524,-331.03424591085195
USDJPY,1,rr5,1.0,2788,0.14885222381635582,-0.1681882339068572,-468.9087961323179,1706,-0.20960078795037917,-357.5789442433469,1082,-0.10289265424119312,-111.32985188897095
USDJPY,1,rr5,0.0,2963,0.20249746878164024,0.21235681331711878,629.213237858623,1812,0.17375717306264027,314.8479975895042,1151,0.2731235797299032,314.3652402691186
USDJPY,1,rr5,2.0,2716,0.1251840942562592,-0.3427918195924192,-931.0225820130106,1667,-0.36536337717284895,-609.0607497471392,1049,-0.30692262370435786,-321.9618322658714
USDJPY,5,swing,1.0,2518,0.23113582208101668,-0.07879119879631645,-198.39623856912482,1553,-0.07669760205711428,-119.11137599469846,965,-0.08216047935173718,-79.28486257442637
