cell,depth,runner,frac,cost_mult,med_hold_bars,n,wr,avg,net,tr_n,tr_avg,tr_net,va_n,va_avg,va_net
d3-sess-b50,3.0,sess,0.5,1.0,0.0,3693,0.17140536149471974,-0.10089212386825466,-372.59461344546446,2421,-0.09495399401232012,-229.883619503827,1272,-0.11219417762707339,-142.71099394163735
d3-extBE-b80,3.0,extBE,0.8,1.0,3575.0,3693,0.17140536149471974,-0.12005026959961083,-443.3456456313628,2421,-0.1168612105941499,-282.92099084843693,1272,-0.12612001162179706,-160.42465478292587
d3-extBE-b50,3.0,extBE,0.5,1.0,3575.0,3693,0.17140536149471974,-0.050603776102224204,-186.879745145514,2421,-0.05628828033404707,-136.27392668872795,1272,-0.039784448472316054,-50.605818456786025
d3-extCh2-b80,3.0,extCh2,0.8,1.0,41.0,3693,0.17140536149471974,-0.14351049771135002,-529.9842680480157,2421,-0.13560182159675557,-328.29201008574523,1272,-0.1585630958822881,-201.69225796227045
d3-extCh2-b50,3.0,extCh2,0.5,1.0,41.0,3693,0.17140536149471974,-0.10925434638157216,-403.476301187146,2421,-0.10313980784056112,-249.70147478199848,1272,-0.12089215912354363,-153.7748264051475
d3-extCh3-b80,3.0,extCh3,0.8,1.0,110.0,3693,0.17140536149471974,-0.14454969619835914,-533.8220280605403,2421,-0.13481773888210674,-326.3937458335804,1272,-0.16307254892056602,-207.42828222696
d3-extCh3-b50,3.0,extCh3,0.5,1.0,110.0,3693,0.17140536149471974,-0.11185234259909504,-413.070701218458,2421,-0.10117960105393912,-244.95581415158662,1272,-0.13216579171923842,-168.1148870668713
d3-sess-b80@2x,3.0,sess,0.8,2.0,0.0,3693,0.1692391010018955,-0.2634243734466256,-972.8262111383883,2421,-0.2738015226909959,-662.8734864349011,1272,-0.2436735257102886,-309.9527247034871
d3-sess-b50@2x,3.0,sess,0.5,2.0,0.0,3693,0.1692391010018955,-0.23073051078384355,-852.0877763247343,2421,-0.2419293907598213,-585.7110550295274,1272,-0.20941566139560278,-266.3767212952067
d3-extBE-b80@2x,3.0,extBE,0.8,2.0,3575.0,3693,0.1692391010018955,-0.24603002024814316,-908.5888647763927,2421,-0.2613915232232546,-632.8288777234993,1272,-0.2167924426516457,-275.75998705289334
